chinese,english,source,refs_list
骨肉团圆,a reunion of family members,JSON,['a reunion of family members']
不差毫厘,"extremely accurate, not the slightest bit off",JSON,"['extremely accurate, not the slightest bit off']"
玉液琼浆,exquisite and precious liquids or drinks,JSON,['exquisite and precious liquids or drinks']
呵壁问天,"asking the walls and the sky, expressing frustration or a sense of hopelessness when facing a difficult or impossible situation",JSON,"['asking the walls and the sky, expressing frustration or a sense of hopelessness when facing a difficult or impossible situation']"
杀气腾腾,filled with a strong sense of hostility or aggression,JSON,['filled with a strong sense of hostility or aggression']
发奋图强,making great efforts to become stronger and more successful,JSON,['making great efforts to become stronger and more successful']
爱屋及乌,"Love me, love my dog",JSON,"['love me, love my dog']"
孤立无援,"isolated and helpless, without any support or assistance",JSON,"['isolated and helpless, without any support or assistance']"
名满天下,being famous or well-known throughout the world,JSON,['being famous or well-known throughout the world']
拔山扛鼎,to have great strength and ability to undertake difficult tasks,JSON,['to have great strength and ability to undertake difficult tasks']
徐娘半老,A woman who is modest and graceful even in her middle age,JSON,['a woman who is modest and graceful even in her middle age']
朽木不雕,Untalented person cannot be improved even with great effort; also refers to a person who lacks potential and cannot be changed or improved,JSON,"['untalented person cannot be improved even with great effort', 'also refers to a person who lacks potential and cannot be changed or improved']"
衣不蔽体,"not enough clothing to cover one's body, indicating poverty or extreme lack",JSON,"[""not enough clothing to cover one's body, indicating poverty or extreme lack""]"
规行矩步,acting in accordance with the rules and regulations; behaving in a disciplined and orderly manner,JSON,"['acting in accordance with the rules and regulations', 'behaving in a disciplined and orderly manner']"
杀人越货,to betray one's benefactor or turn against someone who has shown kindness,JSON,"[""to betray one's benefactor or turn against someone who has shown kindness""]"
踏破铁鞋,finding something after searching for a long time,JSON,['finding something after searching for a long time']
吃喝玩乐,"eating, drinking, having fun",JSON,"['eating, drinking, having fun']"
儿女私情,"personal intimate relationship between a man and a woman, often used to describe a romantic or illicit affair between individuals",JSON,"['personal intimate relationship between a man and a woman, often used to describe a romantic or illicit affair between individuals']"
问心无愧,to have a clear conscience; to have no guilt or shame in one's actions,JSON,"['to have a clear conscience', ""to have no guilt or shame in one's actions""]"
群龙无首,"a situation where there is no leader or person in charge, resulting in chaos or lack of direction",JSON,"['a situation where there is no leader or person in charge, resulting in chaos or lack of direction']"
放荡不羁,unrestrained and free-spirited,JSON,['unrestrained and free-spirited']
自高自大,arrogant and conceited,JSON,['arrogant and conceited']
一人传虚，万人传实,"One person spreads a rumor, but thousands believe it to be true",JSON,"['one person spreads a rumor, but thousands believe it to be true']"
矫枉过正,overcompensate by going to the extreme,JSON,['overcompensate by going to the extreme']
自轻自贱,"having a low opinion of oneself, undervaluing oneself",JSON,"['having a low opinion of oneself, undervaluing oneself']"
各执一词,each insisting on their own argument,JSON,['each insisting on their own argument']
高不可攀,unreachable; beyond one's reach; too high to be reached or achieved,JSON,"['unreachable', ""beyond one's reach"", 'too high to be reached or achieved']"
旁观者清,An onlooker sees clearly.,JSON,['an onlooker sees clearly.']
趾高气扬,"arrogant and conceited, thinking highly of oneself",JSON,"['arrogant and conceited, thinking highly of oneself']"
生生不息,continuously grow and develop,JSON,['continuously grow and develop']
斗筲之人,someone who is insignificant or of low status,JSON,['someone who is insignificant or of low status']
釜底抽薪,rooting out the source of the problem; taking decisive actions to solve a difficult situation by eliminating its underlying causes,JSON,"['rooting out the source of the problem', 'taking decisive actions to solve a difficult situation by eliminating its underlying causes']"
非同小可,not to be taken lightly; of great significance or importance,JSON,"['not to be taken lightly', 'of great significance or importance']"
前事不忘，后事之师,The experience of the past serves as a lesson for the future.,JSON,['the experience of the past serves as a lesson for the future.']
仙山琼阁,"a beautiful and idyllic place, often used to describe a peaceful and serene environment",JSON,"['a beautiful and idyllic place, often used to describe a peaceful and serene environment']"
大显身手,demonstrating one's great skills or abilities,JSON,"[""demonstrating one's great skills or abilities""]"
天府之国,a prosperous and abundant country,JSON,['a prosperous and abundant country']
不敢问津,not daring to ask for help or assistance,JSON,['not daring to ask for help or assistance']
小鸟依人,a person who seeks constant guidance and support from others,JSON,['a person who seeks constant guidance and support from others']
冷酷无情,cold-blooded and ruthless,JSON,['cold-blooded and ruthless']
决一雌雄,"determine the outcome, decide who is superior",JSON,"['determine the outcome, decide who is superior']"
大有作为,having great potential or showing promise; capable of achieving great results,JSON,"['having great potential or showing promise', 'capable of achieving great results']"
不亢不卑,neither arrogant nor servile,JSON,['neither arrogant nor servile']
拆东补西,robbing Peter to pay Paul; trying to solve one problem by creating another,JSON,"['robbing peter to pay paul', 'trying to solve one problem by creating another']"
斗折蛇行,making progress in a slow and difficult way,JSON,['making progress in a slow and difficult way']
化零为整,Turning chaos into order,JSON,['turning chaos into order']
小康之家,a well-off or comfortable family; a household with a relatively high standard of living,JSON,"['a well-off or comfortable family', 'a household with a relatively high standard of living']"
洞房花烛,honeymoon,JSON,['honeymoon']
平地一声雷,sudden and unexpected event or statement that shocks or surprises everyone,JSON,['sudden and unexpected event or statement that shocks or surprises everyone']
惩一儆百,to punish one as a warning to one hundred others,JSON,['to punish one as a warning to one hundred others']
事不关己，高高挂起,"Not one's problem, not getting involved",JSON,"[""not one's problem, not getting involved""]"
传为佳话,become a well-known and admired story that is widely circulated,JSON,['become a well-known and admired story that is widely circulated']
满坑满谷,"occupied everywhere, filled with something",JSON,"['occupied everywhere, filled with something']"
目无全牛,"to have an overconfident or arrogant attitude, thinking that nothing is better than what one has",JSON,"['to have an overconfident or arrogant attitude, thinking that nothing is better than what one has']"
指指点点,pointing and criticizing others,JSON,['pointing and criticizing others']
半吐半露,to reveal only part of the truth or one's true feelings,JSON,"[""to reveal only part of the truth or one's true feelings""]"
暴殄天物,wasting and destroying precious resources,JSON,['wasting and destroying precious resources']
血流成河,rivers of blood,JSON,['rivers of blood']
肘腋之患,a hidden danger that poses a threat,JSON,['a hidden danger that poses a threat']
厝火积薪,to accumulate anger or resentment,JSON,['to accumulate anger or resentment']
悬梁刺骨,"extremely difficult or precarious, with life hanging by a thread",JSON,"['extremely difficult or precarious, with life hanging by a thread']"
了若指掌,have a thorough understanding and complete control over something,JSON,['have a thorough understanding and complete control over something']
一孔之见,a narrow-minded viewpoint; a biased perspective,JSON,"['a narrow-minded viewpoint', 'a biased perspective']"
洪水猛兽,raging flood or fierce beast,JSON,['raging flood or fierce beast']
人莫予毒,It is better not to hurt others with harmful words or actions,JSON,['it is better not to hurt others with harmful words or actions']
等闲视之,to treat or view something casually and indifferently,JSON,['to treat or view something casually and indifferently']
柔肠寸断,"""heartbroken"" or ""deeply moved""",JSON,"['heartbroken', 'deeply moved']"
思如涌泉,"have a fountain of ideas or thoughts, be full of creativity",JSON,"['have a fountain of ideas or thoughts, be full of creativity']"
奋起直追,to make a strong effort to catch up or surpass others,JSON,['to make a strong effort to catch up or surpass others']
以功赎罪,to make up for wrongdoing by performing meritorious deeds,JSON,['to make up for wrongdoing by performing meritorious deeds']
物以类聚,"birds of a feather flock together, people with similar tastes or interests tend to gather together",JSON,"['birds of a feather flock together, people with similar tastes or interests tend to gather together']"
虚位以待,keeping a position open and waiting for someone to fill it,JSON,['keeping a position open and waiting for someone to fill it']
胆大心细,bold and cautious,JSON,['bold and cautious']
战天斗地,fighting against the heavens and the earth,JSON,['fighting against the heavens and the earth']
不急之务,a non-urgent matter,JSON,['a non-urgent matter']
无家可归,having no place to stay; being homeless,JSON,"['having no place to stay', 'being homeless']"
无可厚非,nothing to criticize or find fault with,JSON,['nothing to criticize or find fault with']
半丝半缕,a meager and precarious existence; something that is very weak or fragile,JSON,"['a meager and precarious existence', 'something that is very weak or fragile']"
形色仓皇,panic-stricken and flustered in appearance,JSON,['panic-stricken and flustered in appearance']
先天下之忧而忧，后天下之乐而乐,Worrying about the world's problems before enjoying personal happiness.,JSON,"[""worrying about the world's problems before enjoying personal happiness.""]"
自我解嘲,making self-mocking remarks or jokes,JSON,['making self-mocking remarks or jokes']
排除异己,eliminate or get rid of those who hold different opinions or views,JSON,['eliminate or get rid of those who hold different opinions or views']
引吭高歌,to sing loudly and with great enthusiasm; also refers to expressing one's opinions or ideas confidently and boldly,JSON,"['to sing loudly and with great enthusiasm', ""also refers to expressing one's opinions or ideas confidently and boldly""]"
痛饮黄龙,to drink heavily and get drunk,JSON,['to drink heavily and get drunk']
艰苦奋斗,to work hard and struggle in difficult circumstances,JSON,['to work hard and struggle in difficult circumstances']
捷报频传,receiving frequent and rapid good news,JSON,['receiving frequent and rapid good news']
神气十足,full of oneself; brimming with confidence,JSON,"['full of oneself', 'brimming with confidence']"
好色之徒,a person who is obsessed with lust or has a strong sexual desire,JSON,['a person who is obsessed with lust or has a strong sexual desire']
割席分坐,"""to sever ties and sit separately"", often used to describe a situation where two or more people who were previously close or working together have a falling out or disagreement, resulting in them no longer associating with each other.",JSON,['to sever ties and sit separately']
封妻荫子,bestow official positions or honors on one's wife and children,JSON,"[""bestow official positions or honors on one's wife and children""]"
如花似锦,"beautiful and radiant, like flowers and brocade",JSON,"['beautiful and radiant, like flowers and brocade']"
信口雌黄,talking nonsense or spreading rumors without any basis,JSON,['talking nonsense or spreading rumors without any basis']
心腹之患,a hidden danger or a chronic problem,JSON,['a hidden danger or a chronic problem']
妄自菲薄,underrating oneself or depreciating one's own abilities,JSON,"[""underrating oneself or depreciating one's own abilities""]"
坐卧不安,"feeling restless and uneasy, unable to find peace while sitting or lying down",JSON,"['feeling restless and uneasy, unable to find peace while sitting or lying down']"
诗以言志,expressing one's thoughts and aspirations through poetry,JSON,"[""expressing one's thoughts and aspirations through poetry""]"
倾巢而出,to mobilize all available resources; to send out everything one has,JSON,"['to mobilize all available resources', 'to send out everything one has']"
怫然不悦,feeling irritated and unhappy,JSON,['feeling irritated and unhappy']
七零八落,disorganized and scattered,JSON,['disorganized and scattered']
一股脑儿,"""all at once"" or ""in one breath""",JSON,"['all at once', 'in one breath']"
以售其奸,to expose or reveal someone's evil intentions or wrongdoings,JSON,"[""to expose or reveal someone's evil intentions or wrongdoings""]"
百感交集,a mixture of various emotions,JSON,['a mixture of various emotions']
以貌取人,judging someone solely based on their appearance,JSON,['judging someone solely based on their appearance']
栋梁之材,talented and capable person; pillar of the nation,JSON,"['talented and capable person', 'pillar of the nation']"
天有不测风云,unexpected changes or unpredictable events can occur at any time,JSON,['unexpected changes or unpredictable events can occur at any time']
丰富多采,rich and colorful; diverse and varied,JSON,"['rich and colorful', 'diverse and varied']"
绿林豪客,a bold and skillful person who lives by his own rules and principles,JSON,['a bold and skillful person who lives by his own rules and principles']
不避艰险,not avoid difficulties or danger,JSON,['not avoid difficulties or danger']
洁身自爱,maintain one's virtue and self-respect,JSON,"[""maintain one's virtue and self-respect""]"
人人自危,everyone is always on guard and concerned about their own safety and well-being,JSON,['everyone is always on guard and concerned about their own safety and well-being']
能上能下,able to handle both higher and lower level tasks,JSON,['able to handle both higher and lower level tasks']
乐天知命,accepting fate with a positive and optimistic attitude,JSON,['accepting fate with a positive and optimistic attitude']
言信行果,saying what one means and doing what one says,JSON,['saying what one means and doing what one says']
返璞归真,returning to one's original simplicity or nature,JSON,"[""returning to one's original simplicity or nature""]"
滔滔不绝,talking incessantly; speaking non-stop,JSON,"['talking incessantly', 'speaking non-stop']"
珠联璧合,"the perfect combination or match; also refers to the perfect match between two people, usually used to describe a harmonious marriage or partnership",JSON,"['the perfect combination or match', 'also refers to the perfect match between two people, usually used to describe a harmonious marriage or partnership']"
金瓯无缺,nothing is lacking or imperfect,JSON,['nothing is lacking or imperfect']
后悔莫及,"to deeply regret and feel remorseful, but it is too late to change or undo what has been done",JSON,"['to deeply regret and feel remorseful, but it is too late to change or undo what has been done']"
绰约多姿,graceful and charming,JSON,['graceful and charming']
有色眼镜,having a biased or prejudiced viewpoint,JSON,['having a biased or prejudiced viewpoint']
冷眼相待,treating with indifference or disregard; keeping a cold attitude towards someone,JSON,"['treating with indifference or disregard', 'keeping a cold attitude towards someone']"
明月清风,tranquil and serene; a peaceful and harmonious scene,JSON,"['tranquil and serene', 'a peaceful and harmonious scene']"
饱食终日，无所用心,Being idle and having no ambition or purpose in life despite being well-fed,JSON,['being idle and having no ambition or purpose in life despite being well-fed']
因人设事,tailoring the facts to suit one's interests,JSON,"[""tailoring the facts to suit one's interests""]"
秋后算账,settling accounts after the event,JSON,['settling accounts after the event']
暮暮朝朝,"day and night, continuously and tirelessly",JSON,"['day and night, continuously and tirelessly']"
姜桂之性,The inherent nature or character of someone cannot be changed.,JSON,['the inherent nature or character of someone cannot be changed.']
百无一失,"foolproof, without any possibility of failure",JSON,"['foolproof, without any possibility of failure']"
悍然不顾,to act recklessly and without regard for consequences,JSON,['to act recklessly and without regard for consequences']
聊表寸心,expressing one's true feelings or intentions in a casual or lighthearted manner,JSON,"[""expressing one's true feelings or intentions in a casual or lighthearted manner""]"
传为美谈,become a legendary story,JSON,['become a legendary story']
鸾翔凤集,a gathering of talented and exceptional individuals,JSON,['a gathering of talented and exceptional individuals']
白纸黑字,"""written in black and white on paper"", meaning something that is clear and undeniable, often used to describe solid evidence or a documented agreement.",JSON,['written in black and white on paper']
虎头虎脑,"vigorous and strong, bold and resolute",JSON,"['vigorous and strong, bold and resolute']"
锄强扶弱,to support the weak while suppressing the strong,JSON,['to support the weak while suppressing the strong']
下车伊始,from the moment one gets off the car,JSON,['from the moment one gets off the car']
心急如焚,being extremely anxious or impatient,JSON,['being extremely anxious or impatient']
惨不忍闻,"extremely shocking or distressing, to the point where one cannot bear to hear about it",JSON,"['extremely shocking or distressing, to the point where one cannot bear to hear about it']"
闻所不闻,hearing something that has never been heard before,JSON,['hearing something that has never been heard before']
相辅相成,mutually complementary and reinforcing,JSON,['mutually complementary and reinforcing']
有勇有谋,having both bravery and strategy,JSON,['having both bravery and strategy']
心事重重,burdened with heavy thoughts,JSON,['burdened with heavy thoughts']
绳之以法,to punish someone according to the law,JSON,['to punish someone according to the law']
牢骚满腹,to have a stomach full of complaints or grievances,JSON,['to have a stomach full of complaints or grievances']
搜索枯肠,racking one's brains; thinking very hard; searching deeply for a solution or answer,JSON,"[""racking one's brains"", 'thinking very hard', 'searching deeply for a solution or answer']"
有口无心,speak without thinking or intending to offend,JSON,['speak without thinking or intending to offend']
三从四德,The three obediences and four virtues,JSON,['the three obediences and four virtues']
横冲直撞,"acting recklessly and impulsively, without considering the consequences",JSON,"['acting recklessly and impulsively, without considering the consequences']"
笨嘴拙腮,having a clumsy or awkward way of speaking or expressing oneself,JSON,['having a clumsy or awkward way of speaking or expressing oneself']
众望所归,to enjoy widespread support and expectation,JSON,['to enjoy widespread support and expectation']
雍容大度,graceful and composed; dignified and generous,JSON,"['graceful and composed', 'dignified and generous']"
不知进退,being unable to judge whether to advance or retreat; not knowing how to handle a situation,JSON,"['being unable to judge whether to advance or retreat', 'not knowing how to handle a situation']"
虎视眈眈,"gazing intently, especially with a predatory or covetous look",JSON,"['gazing intently, especially with a predatory or covetous look']"
怨天忧人,blaming the heavens and being worried about humanity,JSON,['blaming the heavens and being worried about humanity']
以伪乱真,"using fake or false things to confuse or deceive people, making it difficult to distinguish between truth and falsehood",JSON,"['using fake or false things to confuse or deceive people, making it difficult to distinguish between truth and falsehood']"
公正廉洁,"impartial and honest, free from corruption",JSON,"['impartial and honest, free from corruption']"
蓬头垢面,"disheveled appearance, dirty and unkempt",JSON,"['disheveled appearance, dirty and unkempt']"
能文能武,skilled both in literary and militaristic pursuits,JSON,['skilled both in literary and militaristic pursuits']
出乖露丑,to reveal one's true nature and expose one's flaws,JSON,"[""to reveal one's true nature and expose one's flaws""]"
去伪存真,"discard the false, preserve the true",JSON,"['discard the false, preserve the true']"
从恶如崩,to deteriorate rapidly or irreversibly,JSON,['to deteriorate rapidly or irreversibly']
慷慨陈词,eloquently express one's opinion or argument with great passion and generosity,JSON,"[""eloquently express one's opinion or argument with great passion and generosity""]"
专心一意,to concentrate on one thing wholeheartedly,JSON,['to concentrate on one thing wholeheartedly']
皓月千里,bright moon a thousand miles away,JSON,['bright moon a thousand miles away']
心灰意冷,feel disappointed and lose interest,JSON,['feel disappointed and lose interest']
百无一能,completely incompetent or incapable,JSON,['completely incompetent or incapable']
无形无影,without a trace; invisible,JSON,"['without a trace', 'invisible']"
人定胜天,Human determination is more powerful than fate,JSON,['human determination is more powerful than fate']
钢筋铁骨,"strong and resolute, unyielding",JSON,"['strong and resolute, unyielding']"
平起平坐,"treat everyone as equals, without any hierarchy",JSON,"['treat everyone as equals, without any hierarchy']"
轻装上阵,go into battle lightly,JSON,['go into battle lightly']
不衫不履,to be improperly dressed or untidy in appearance; also refers to someone who is careless or lacks professionalism in their work,JSON,"['to be improperly dressed or untidy in appearance', 'also refers to someone who is careless or lacks professionalism in their work']"
坚强不屈,be strong and unyielding; refuse to be defeated or weakened,JSON,"['be strong and unyielding', 'refuse to be defeated or weakened']"
众口难调,"difficult to please everyone, as opinions differ",JSON,"['difficult to please everyone, as opinions differ']"
异端邪说,heretical views and ideas,JSON,['heretical views and ideas']
寸步难移,difficult to make any progress or move forward even an inch,JSON,['difficult to make any progress or move forward even an inch']
一来二去,"repeatedly, back and forth",JSON,"['repeatedly, back and forth']"
妙语连珠,being adept at making witty remarks; speaking in an articulate and clever manner,JSON,"['being adept at making witty remarks', 'speaking in an articulate and clever manner']"
冰清玉洁,"pure and pristine, without any blemish or impurity",JSON,"['pure and pristine, without any blemish or impurity']"
俾昼作夜,to reverse day and night; to work or stay up all night,JSON,"['to reverse day and night', 'to work or stay up all night']"
满不在乎,"not care at all, indifferent",JSON,"['not care at all, indifferent']"
玩世不恭,being cynical or disrespectful towards the world and its conventions,JSON,['being cynical or disrespectful towards the world and its conventions']
年近古稀,reaching the age of seventy or eighty,JSON,['reaching the age of seventy or eighty']
半文半白,a person who possesses superficial knowledge in various fields but lacks depth in any specific area,JSON,['a person who possesses superficial knowledge in various fields but lacks depth in any specific area']
白眼相看,to look down upon or disdainfully at someone,JSON,['to look down upon or disdainfully at someone']
天崩地塌,"a catastrophic event, the end of the world",JSON,"['a catastrophic event, the end of the world']"
月黑风高,the night is dark and the wind is high,JSON,['the night is dark and the wind is high']
文人墨客,scholars and literati,JSON,['scholars and literati']
坏人心术,the cunning schemes and tricks of a villainous person,JSON,['the cunning schemes and tricks of a villainous person']
富贵不淫,being wealthy and privileged but remaining virtuous and humble,JSON,['being wealthy and privileged but remaining virtuous and humble']
神乎其神,extremely astonishing or amazing,JSON,['extremely astonishing or amazing']
不生不灭,neither being born nor perishing,JSON,['neither being born nor perishing']
出师无名,to leave without gaining any recognition or fame; to start a career or endeavor anonymously,JSON,"['to leave without gaining any recognition or fame', 'to start a career or endeavor anonymously']"
深情厚意,deep affection and kindness,JSON,['deep affection and kindness']
毫发不爽,"unharmed or untouched, without a single flaw or mistake",JSON,"['unharmed or untouched, without a single flaw or mistake']"
同日而语,Speaking about two separate things at the same time,JSON,['speaking about two separate things at the same time']
据为己有,to claim something as one's own possession or property,JSON,"[""to claim something as one's own possession or property""]"
众叛亲离,isolated and betrayed by both friends and family,JSON,['isolated and betrayed by both friends and family']
面不改容,to maintain one's composure and not show any change in facial expression,JSON,"[""to maintain one's composure and not show any change in facial expression""]"
血泪斑斑,a situation or experience that is filled with pain and suffering,JSON,['a situation or experience that is filled with pain and suffering']
曲尽其妙,"perfectly played or executed, reaching the highest level of excellence",JSON,"['perfectly played or executed, reaching the highest level of excellence']"
狼狈不堪,"to be in a pitiful, embarrassing, or wretched state",JSON,"['to be in a pitiful, embarrassing, or wretched state']"
授业解惑,to impart knowledge and clear up confusion for students or others who are seeking guidance,JSON,['to impart knowledge and clear up confusion for students or others who are seeking guidance']
生而知之,to be born with knowledge; innate knowledge,JSON,"['to be born with knowledge', 'innate knowledge']"
殚精竭虑,exhausting all efforts and thoughts,JSON,['exhausting all efforts and thoughts']
唉声叹气,sighing and lamenting,JSON,['sighing and lamenting']
虎步龙行,moving swiftly and powerfully with great confidence and authority,JSON,['moving swiftly and powerfully with great confidence and authority']
玉石俱焚,"Both sides suffer damage, without distinction between right and wrong",JSON,"['both sides suffer damage, without distinction between right and wrong']"
手无寸铁,defenseless; unarmed,JSON,"['defenseless', 'unarmed']"
杯觥交错,raising a toast and exchanging cups (idiom); toasting and drinking in celebration and camaraderie,JSON,"['raising a toast and exchanging cups ,idiom', 'toasting and drinking in celebration and camaraderie']"
富贵荣华,"wealth and glory, living a luxurious and honored life",JSON,"['wealth and glory, living a luxurious and honored life']"
惝恍迷离,confused and unclear; in a daze or trance-like state,JSON,"['confused and unclear', 'in a daze or trance-like state']"
为民请命,sacrificing oneself for the sake of the people; willingly offering one's life in service to the people,JSON,"['sacrificing oneself for the sake of the people', ""willingly offering one's life in service to the people""]"
千里迢迢,"over a long distance, a great journey",JSON,"['over a long distance, a great journey']"
风谲云诡,strange and unpredictable; full of mystery and deception,JSON,"['strange and unpredictable', 'full of mystery and deception']"
冷眼静看,to observe calmly and impartially,JSON,['to observe calmly and impartially']
狗皮膏药,a person or thing that is used as a temporary solution to a problem but is not a long-term or effective solution,JSON,['a person or thing that is used as a temporary solution to a problem but is not a long-term or effective solution']
匹夫有责,Every individual has a responsibility,JSON,['every individual has a responsibility']
乐而忘返,being so happy that one forgets to return; enjoying oneself so much that one doesn't want to leave,JSON,"['being so happy that one forgets to return', ""enjoying oneself so much that one doesn't want to leave""]"
因利乘便,taking advantage of a situation for one's own benefit,JSON,"[""taking advantage of a situation for one's own benefit""]"
人生如梦,life is like a dream,JSON,['life is like a dream']
沿波讨源,Seek the source by following the waves,JSON,['seek the source by following the waves']
怦然心动,to be suddenly and strongly attracted to someone or something,JSON,['to be suddenly and strongly attracted to someone or something']
地利人和,favorable geographical conditions and harmonious human relations,JSON,['favorable geographical conditions and harmonious human relations']
暗箭伤人,"to maliciously hurt someone, often by hidden means",JSON,"['to maliciously hurt someone, often by hidden means']"
话不投机半句多,"unable to get along well with each other in conversation, having little in common",JSON,"['unable to get along well with each other in conversation, having little in common']"
如箭在弦,ready to be implemented,JSON,['ready to be implemented']
玉汝于成,Training and cultivating someone to become excellent,JSON,['training and cultivating someone to become excellent']
神头鬼脸,making strange and exaggerated facial expressions,JSON,['making strange and exaggerated facial expressions']
吟风弄月,"Indulging in romantic fantasies, such as admiring the moon and enjoying nature's beauty",JSON,"[""indulging in romantic fantasies, such as admiring the moon and enjoying nature's beauty""]"
月晕而风,an atmospheric phenomenon where the moon appears hazy and the wind blows,JSON,['an atmospheric phenomenon where the moon appears hazy and the wind blows']
大辩若讷,being eloquent and articulate in debates,JSON,['being eloquent and articulate in debates']
百思不解,perplexed and unable to understand despite much thought,JSON,['perplexed and unable to understand despite much thought']
千门万户,numerous households or families,JSON,['numerous households or families']
擒贼先擒王,Capture the leader first to capture the whole group,JSON,['capture the leader first to capture the whole group']
真情实意,sincere and genuine feelings; expressing true and heartfelt emotions,JSON,"['sincere and genuine feelings', 'expressing true and heartfelt emotions']"
任人唯贤,Appointing people solely based on their abilities and virtues,JSON,['appointing people solely based on their abilities and virtues']
精疲力尽,completely exhausted both mentally and physically,JSON,['completely exhausted both mentally and physically']
反面无情,show no mercy or compassion to the enemy or opponent,JSON,['show no mercy or compassion to the enemy or opponent']
说一不二,keep one's word; be resolute and never change one's mind,JSON,"[""keep one's word"", ""be resolute and never change one's mind""]"
俟河之清,wait until the river water clears,JSON,['wait until the river water clears']
转危为安,To turn danger into safety,JSON,['to turn danger into safety']
有眼无珠,having eyes but failing to recognize precious things,JSON,['having eyes but failing to recognize precious things']
不好意思,feel embarrassed or sorry,JSON,['feel embarrassed or sorry']
怨天怨地,blaming the heavens and the earth,JSON,['blaming the heavens and the earth']
保家卫国,to defend one's home and country,JSON,"[""to defend one's home and country""]"
深山幽谷,a deep mountain valley; a remote and secluded place,JSON,"['a deep mountain valley', 'a remote and secluded place']"
投井下石,to add insult to injury,JSON,['to add insult to injury']
有所作为,"achieving or accomplishing something, making progress or contributions in a certain area",JSON,"['achieving or accomplishing something, making progress or contributions in a certain area']"
股掌之上,having complete control and dominance over someone or something,JSON,['having complete control and dominance over someone or something']
牢不可破,unbreakable and invincible,JSON,['unbreakable and invincible']
三妻四妾,having multiple wives and concubines,JSON,['having multiple wives and concubines']
苦尽甘来,"going from bitterness to sweetness, from hardships to rewards; experiencing difficulties or hardships before eventually enjoying success or happiness",JSON,"['going from bitterness to sweetness, from hardships to rewards', 'experiencing difficulties or hardships before eventually enjoying success or happiness']"
束手就擒,surrender without resistance,JSON,['surrender without resistance']
严惩不贷,severely punish without mercy,JSON,['severely punish without mercy']
行尸走肉,lifeless and with no spirit or motivation; also refers to someone who goes through the motions without any real purpose or enthusiasm,JSON,"['lifeless and with no spirit or motivation', 'also refers to someone who goes through the motions without any real purpose or enthusiasm']"
公之于众,to make something known or publicize it to everyone,JSON,['to make something known or publicize it to everyone']
狗苟蝇营,to engage in deceitful and dishonest activities for personal gain,JSON,['to engage in deceitful and dishonest activities for personal gain']
灯红酒绿,Boisterous and bustling nightlife; a scene of revelry,JSON,"['boisterous and bustling nightlife', 'a scene of revelry']"
家常便饭,something that is very familiar or common; something that happens frequently or is done regularly,JSON,"['something that is very familiar or common', 'something that happens frequently or is done regularly']"
勾魂摄魄,captivating and mesmerizing,JSON,['captivating and mesmerizing']
惊喜交集,a pleasant surprise; a situation where one experiences a series of unexpected and joyful events,JSON,"['a pleasant surprise', 'a situation where one experiences a series of unexpected and joyful events']"
孺子可教,a child who is capable of being taught; a child who is easy to teach,JSON,"['a child who is capable of being taught', 'a child who is easy to teach']"
见多识广,"having seen and experienced much, possessing extensive knowledge and understanding",JSON,"['having seen and experienced much, possessing extensive knowledge and understanding']"
草木知威,Even plants and trees can sense one's power and authority,JSON,"[""even plants and trees can sense one's power and authority""]"
吴下阿蒙,a person who pretends to have knowledge or expertise but actually knows very little,JSON,['a person who pretends to have knowledge or expertise but actually knows very little']
五日京兆,referring to the top-ranking officials in the imperial capital who have a short-lived reign,JSON,['referring to the top-ranking officials in the imperial capital who have a short-lived reign']
有机可乘,finding an opportunity to take advantage of,JSON,['finding an opportunity to take advantage of']
远走高飞,to leave and pursue a better life elsewhere,JSON,['to leave and pursue a better life elsewhere']
兼弱攻昧,"Using a soft approach to achieve one's goals, rather than relying solely on brute force",JSON,"[""using a soft approach to achieve one's goals, rather than relying solely on brute force""]"
勇往直前,to courageously move forward without hesitation,JSON,['to courageously move forward without hesitation']
硕果仅存,to have only a few remaining significant achievements or results,JSON,['to have only a few remaining significant achievements or results']
民穷财尽,"to be extremely poor, with no money or resources left",JSON,"['to be extremely poor, with no money or resources left']"
倾城倾国,"an extremely beautiful woman, captivating and irresistible",JSON,"['an extremely beautiful woman, captivating and irresistible']"
人给家足,be content with what one has; to have enough,JSON,"['be content with what one has', 'to have enough']"
地广人稀,sparsely populated with vast territory,JSON,['sparsely populated with vast territory']
养老送终,to take care of elderly parents until the end of their lives,JSON,['to take care of elderly parents until the end of their lives']
鸡口牛后,To put the cart before the horse; getting things in the wrong order or having priorities mixed up,JSON,"['to put the cart before the horse', 'getting things in the wrong order or having priorities mixed up']"
断烂朝报,completely cut off from all contact with the outside world,JSON,['completely cut off from all contact with the outside world']
懦弱无能,timid and incompetent,JSON,['timid and incompetent']
无所用心,"without any intention or purpose, not putting effort into something",JSON,"['without any intention or purpose, not putting effort into something']"
宛转悠扬,"soft and melodious, with a gentle rhythm",JSON,"['soft and melodious, with a gentle rhythm']"
接三连四,making a series of connections or associations,JSON,['making a series of connections or associations']
杀人如麻,to kill people without hesitation or remorse,JSON,['to kill people without hesitation or remorse']
茫无头绪,"without any clue or direction, feeling lost or confused",JSON,"['without any clue or direction, feeling lost or confused']"
稍胜一筹,slightly better or more successful than someone or something,JSON,['slightly better or more successful than someone or something']
